label,subject,body_text,sender,reply_to,urls,has_attachments
1,URGENT: Your PayPal account has been suspended,"Dear Customer, We have detected unusual activity on your PayPal account. Your account has been temporarily suspended. You must verify your identity immediately or your account will be permanently closed within 24 hours. Click here to confirm your account details and restore access. Do not ignore this message.",billing@paypa1-support.xyz,recovery@freemail.com,http://192.168.1.1/paypal/login|http://paypal-secure-update.xyz/verify,0
1,Apple ID: Verify your account now,"Your Apple ID has been locked due to suspicious signin attempts. To unlock your account, you must verify your information immediately. Failure to verify within 48 hours will result in permanent account suspension. Enter your password and billing information to restore access.",noreply@apple-id-support.top,,http://apple-account-verify.tk/login|http://bit.ly/applelogin,0
1,You have won $1000000 lottery prize,"Congratulations! You have been selected as the winner of our international lottery. You have won ONE MILLION DOLLARS. To claim your prize you must send a processing fee of $500 via wire transfer or gift card. Reply with your bank account and routing number to claim your winnings immediately.",winner@lottery-claim.ml,,https://claim-prize-now.cf/winner,0
1,IRS Tax Fraud Alert - Immediate Action Required,"WARNING: Our records indicate you owe back taxes. Legal action and arrest warrant will be issued within 24 hours unless you pay immediately. Purchase $500 in iTunes gift cards and call us with the redemption codes to avoid criminal charges and deportation.",irs-alert@government-notice.pw,,http://irs-payment-portal.win/pay,0
1,Your Microsoft account password expires today,"Action Required: Your Microsoft Office 365 password is expiring today. Click the link below to update your password within 2 hours or you will be locked out. Enter your current username and password to proceed.",support@microsoft-helpdesk.xyz,,http://microsoft-password-reset.top/update,0
1,CRITICAL: Amazon order cancelled - verify payment,"Your Amazon order #1234567 has been cancelled due to a payment issue. Your credit card was declined. Please update your credit card information and billing address immediately to avoid losing your order. This link expires in 1 hour.",orders@amazon-billing-update.com,,http://amazon-payment-verify.top/update,0
1,FedEx Shipment Notification - Action Required,"Your FedEx package is on hold due to incomplete address information. To release your package you must pay a $3.50 customs fee and confirm your home address, date of birth, and last 4 digits of your SSN.",tracking@fedex-delivery-update.info,,http://fedex-delivery-fee.xyz/confirm,0
1,LinkedIn: Your account will be deactivated,"Your LinkedIn account shows unusual signin activity from an unauthorized location. Confirm your identity by entering your username and password at the link below. Account will be deactivated in 24 hours if not verified.",security@linkedin-account-verify.com,,http://linkedin-verify.tk/confirm,0
1,Dropbox: Important document shared with you,"Hi, A confidential document has been shared with you. Click below to access the document. You will need to enter your email and password to view it.",noreply@dropbox-secure-share.xyz,,http://dropbox-file-share.top/view,0
1,Zoom Meeting Invitation - Click to Join,"You have been invited to an important Zoom meeting. Click the link below to join. You may need to update your Zoom client and enter your work email and password.",zoom-meeting@zoomvideocalls.tk,,http://zoom-meeting-join.ml/start,0
